Year,AfricaMidEast,Asia,USSR,Europe,NorthAmer,Oceania,SouthAmer
1850,0.081001575382403,0.487696152675244,0.147523945442981,0.420572789896009,0.561734979541538,0.005538257259065,0.003813885564715
1860,0.084340414495884,0.49819832798799,0.168726439708626,0.436070565291582,0.739485572310945,0.0109243055905,0.00439417586502
1870,0.088235952979088,0.507868533629654,0.182560513918453,0.456055348574756,0.832340793416338,0.019181263848376,0.004980359688719
1880,0.093349184920094,0.52067002207616,0.209474696131717,0.478808037214008,1.15336818480568,0.037541425528574,0.005541321622353
1890,0.098450936382469,0.538736169204076,0.240101021889719,0.501047657280934,1.41743751747804,0.046533064673181,0.006883240627486
1900,0.104741790435695,0.561231643912991,0.269106815706097,0.529543691839592,1.61334720661453,0.074243993354539,0.008339205159217
1910,0.11203431210582,0.589607058101372,0.333812688553151,0.558166187155326,1.92924864917734,0.113039331767183,0.010511767601863
1920,0.120336850700823,0.626487700009434,0.30693025982483,0.560370225342546,2.13877142471104,0.169735013950233,0.02805859528292
1930,0.131601325398424,0.672900245626881,0.341256552979209,0.578570161885706,2.32386592096882,0.240981208781879,0.052551705693057
1940,0.149972557230303,0.712542623948779,0.421147306416705,0.595174352143112,2.39687714346852,0.31621598182609,0.076840209095452
1950,0.189782465557099,0.761974001620441,0.37280650524614,0.606360291014786,2.59597092504322,0.418949747510412,0.081666956785722
1960,0.488867383333333,1.11035241666667,0.70497415,4.30098858333333,4.0690958,0.82765225,0.1309675
1970,0.940836,2.5798467,1.551803625,5.83937865,6.96247857,0.8907948,0.598756425
1980,1.7609468175,5.5478808,2.242210905,5.0360427,8.67242304,0.68987565,1.113437925
1990,2.3432213025,8.685904425,0.98737848,2.60738115,9.82880883,0.447534,1.03403445
2000,2.54053371,13.301813775,0.75469275,2.078564325,10.06247322,0.64931205,1.4124945
2010,3.33941985,19.76441745,0.646271685,1.95576705,12.69653076,0.5421465,1.69283475
