Year,NorthAmer,SouthAmer,Europe,AfricaMidEast,USSR,Asia,Oceania
1850,14.91538613,22.056,80.395,0.3450652112,11.028,5.514,3.676
1860,37.26663457,62.492,100.0229545,1.708894379,11.028,5.514,21.004
1870,87.25740579,62.492,109.056295,4.992881931,11.028,5.784,31.58
1880,459.6037671,88.224,564.9379958,24.19759808,7.352,9.521942544,41.2375015
1890,1030.865157,67.86367679,657.4131489,69.04538794,9.19,58.57017921,16.85519718
1900,2391.238081,98.00909109,1174.724229,132.4689154,27.31092096,192.8925599,109.4228941
1910,3206.792535,139.1468893,1324.137832,182.5184799,156.3456912,308.589403,187.6913298
1920,4514.72692,359.4598492,1401.202574,229.853498,207.9883456,154.8515585,144.9983706
1930,5043.59869,727.218335,3352.252648,567.9053948,820.0398382,616.7901802,163.5958717
1940,6515.468208,1036.886444,4627.102508,829.7950267,1501.22894,1277.509356,212.9280098
1950,7873.594872,1037.354839,5831.408761,929.8334957,1719.432428,1394.90489,248.7822946
1960,10038.40057,1057.20287,7151.133579,2003.34404,2607.676031,2764.923842,403.8478198
1970,8394.287383,1676.03539,5760.684836,3438.668716,1179.223387,4102.790345,985.4656451
1980,4116.688035,3346.248746,4247.224094,3921.057942,1406.725962,11115.83078,1221.641543
1990,4662.428182,3835.860306,3939.89415,3615.35895,1603.189398,16220.25769,1360.345593
2000,2805.507088,7839.464884,2151.840368,3316.14511,2364.270755,20860.82992,2123.798501
2008,696.6606514,8581.982805,781.6155164,3843.713295,2460.244212,28155.59034,2199.274288
2010,575.3047286,8496.118569,691.9151117,4269.512455,2444.337832,30603.92307,1972.095446
2012,604.4949177,7845.063472,672.6643899,4724.999227,2539.440205,33191.4697,1970.081853
2016,573.4727353,7579.461112,775.2743802,5072.978668,2885.427335,37522.30651,1516.769569
