Year,NorthAmer,SouthAmer,USSR,Europe,AfricaMidEast,Oceania,Asia
1920,0,0,0,0,0,0,0
1965,205.471563868413,10.7972608499554,20.89265329044,53.1292617,6.08284197187855,0,20.5691071510309
1966,216.15225191044,12.0488876460629,22.37459088024,60.52132593,6.44520825600595,0,23.7151944573124
1967,224.407350835566,12.4571883468569,24.40130244264,69.5258505,6.93014231963298,0,26.6111558490697
1968,238.99924862827,13.3142032162557,26.0670671594853,74.5351258856557,7.33550848469082,0,29.5707543403217
1969,247.58079287408,14.2166872939445,27.95719073652,81.78741216,7.94908623516688,0,34.5141039969385
1970,256.633378653613,15.2715875421575,30.35419621596,87.03713706543,8.49567999691145,0,39.8570627756641
1971,267.075574885795,16.439436265737,31.70965481352,94.89736995048,9.18538052031433,0,45.5237696686314
1972,282.499726183794,18.0092483543264,34.1981137890442,102.999403095323,9.97858770444677,0,49.4373294255199
1973,296.005502348001,19.8686984095655,36.7931959956002,109.76860775457,10.6736060994256,0,55.1133922171307
1974,246.755927447289,19.9726838534483,39.43249255656,106.84763200404,10.8268271163475,0,55.2421083548707
1975,220.316599057571,20.3723510460514,44.5442248393201,105.88638888306,11.3823388718738,0,55.8628752262464
1976,256.385890540537,21.0991680769844,45.2104732696723,112.095551838433,12.6757179124121,0,60.5857344593454
1977,265.751037809946,21.7882499438996,49.7732930546401,110.6967142818,13.3297741450213,0,62.1120263411677
1978,237.46432902617,23.5394189923126,53.3834929157761,124.446375635145,14.6154865547668,0,69.0241046708416
1979,230.662293683479,24.7399901923954,54.3716721265719,126.660115976311,15.2043709857902,0,71.7968519449901
1980,153.609147835286,22.9882281561704,44.5378775918394,90.2166218015065,16.122331794917,0,45.6297644376978
1981,115.108482927397,23.156530531722,45.5466289546972,57.79356731178,17.1930430853376,0,45.6723418166591
1982,115.163782748579,22.947303729704,45.7118839711954,58.43022062688,18.4377663345188,0,46.3247783824876
1983,94.3860414076264,22.5051151227901,45.5388175082132,58.42096372002,18.6092683924225,0,47.780767587658
1984,96.957261422217,22.6214458916474,45.91866087095,59.5190220200664,18.8224529701005,0,49.4208186252987
1985,68.7018889677849,23.0391876487831,44.136492606724,60.7867372133106,19.7131685875004,0,51.9311095185875
1986,36.9117770803161,25.0344695199879,14.9767105171799,62.7025409902425,19.6056957952498,0,54.3785532923495
1987,18.4897657870686,25.4794458138711,15.2149882843792,64.3049686064695,20.6123520998889,0,57.0270680965549
1988,18.9369562782438,25.6251918946204,15.2499922276568,66.5577154418142,21.6435997601355,0,60.8698412250267
1989,0.255801843351846,26.4685568240172,15.4140718075257,67.6921175917314,22.2749539395849,0,65.1451117014726
1990,0.050731015203768,26.4113666341475,15.5531619443072,26.651751498088,22.8052428889113,0,68.6716153049687
1991,0.02513931723478,27.5927711124931,15.1956775056233,26.6197410700372,23.3889558730961,0,72.5146922918506
1992,0.025577269412482,27.7297138031215,13.3490600627049,26.7345373653996,24.1160234697236,0,77.1670058783342
1993,0.026162711684816,28.8272852702728,10.9053171,26.3014925729175,24.3878553322772,0,82.4292407023701
1994,0.026632744082795,30.8835667939331,10.82725128,26.1294629879925,25.0803607570618,0,22.8116485837228
1995,0,32.4652536218594,10.26618639,26.2470480361875,25.9008486200097,0,24.2034644906428
1996,0,33.8520482621879,9.52475335532787,26.1551215338639,25.8343369557797,0,2.22727330573975
1997,0,34.7845287723741,9.87134328,26.170137470835,26.2348378696032,0,2.30299204394733
1998,0,35.6406886940218,9.62307273,26.21679573861,26.6743271748398,0,2.32170263288391
1999,0,37.5262080586668,9.29700189,26.2098544524975,27.0323826157991,0,2.40113661996309
2000,0,20.0826021740207,8.62388841844263,25.1031789596582,26.886126230764,0,0
2001,0,19.8549452119442,9.25876557,24.833958116175,25.4811429908576,0,0
2002,0,20.303834587545,0,24.485346434475,25.9141606610382,0,0
2003,0,19.7735578711989,0,23.7189652496117,27.194058955543,0,0
2004,0,19.9972110231567,0,23.1419124511319,18.1098941152134,0,0
2005,0,21.1687601707882,0,0,18.700975978717,0,0
2006,0,0,0,0,6.84269070267368,0,0
2007,0,0,0,0,7.07514694024795,0,0
2008,0,0,0,0,7.62360180326731,0,0
2009,0,0,0,0,8.02876400238098,0,0
2010,0,0,0,0,8.42212210354728,0,0
2011,0,0,0,0,2.80695310350956,0,0
2012,0,0,0,0,3.00416228935956,0,0
2013,0,0,0,0,3.05894533905592,0,0
2014,0,0,0,0,3.12417762094148,0,0
2015,0,0,0,0,3.3055148000132,0,0
2016,0,0,0,0,3.59952962624588,0,0
