Year,NorthAmer,SouthAmer,Europe,USSR,AfricaMidEast,Asia,Oceania
1850,0.470970243518599,0,13.0515172106739,0,0,0,0
1860,0.415963403209281,0,18.9271546436371,0,0,0,0
1870,0.579758577440519,0,26.0322410628864,0,0,0,0
1880,3.81451143264807,0,33.9585751902652,0,0,0,0
1890,8.56258358128314,0,46.7312903768704,0,0,0,0.284810377708776
1900,26.4641625374251,0,58.7038152055706,0,0,0.464102534922949,0.707683669520666
1910,42.7655641086332,0,72.577009668905,0,0,0.993761176964737,0.943626565076019
1920,49.87370057265,0.742215204915293,44.6884976701381,0,8.52060385029481,7.53108754694244,0.080782789594757
1930,95.9840485343872,5.44359137824542,71.3069832267457,3.35431626996928,21.4752894804611,25.9017050610075,2.36313018860528
1940,97.1602977625831,11.9491401481976,66.1373894745384,25.8872519270877,25.8475218645382,34.9892406844951,3.63788692596647
1950,111.679623650622,18.8189496415546,63.6962054948657,35.633961760595,43.545898152396,5.24596208175924,2.90153929932108
1960,109.14839237496,49.505607953654,142.667541199456,131.799569447554,83.5286417561098,83.7599800679559,4.3353254637495
1970,180.929480139344,76.9035496054089,197.177185541013,206.875996958482,98.2209008500871,209.316890842233,5.2125424158458
1980,187.756358333286,109.891948037504,199.844799339321,221.889594578132,182.926203749493,317.366356388511,6.56753648058441
1990,167.453682070405,99.4249406474856,202.867288280804,212.689655250681,270.436085905077,509.815462730964,7.31967284893453
2000,187.207158182676,134.355026741898,182.54389292384,125.197057232758,400.320108357811,1280.50000297905,9.87675358197108
